country,row,2023,2022,2021
SE,"CP09423 Television and radio licence fees, subscriptions",6,-0.5,-2.6
SI,"CP09111 Equipment for the reception, recording and reproduction of sound",4.4,3.4,0.4
SI,CP09113 Portable sound and vision devices,-0.7,-1.4,-1.7
SI,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",3.6,,
SI,CP09141 Pre-recorded recording media,1,-2.2,-1.1
SI,"CP0915 Repair of audio-visual, photographic and information processing equipment",1.4,2.7,1
SI,CP09221 Musical instruments,5.8,5.4,3.6
SI,"CP09421 Cinemas, theatres, concerts",5,2,1.1
SI,"CP09423 Television and radio licence fees, subscriptions",4.2,2.6,2.6
SK,"CP09111 Equipment for the reception, recording and reproduction of sound",4,5,-0.2
SK,CP09113 Portable sound and vision devices,-4.8,1.2,-1.9
SK,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",1.2,-1,-1.8
SK,CP09141 Pre-recorded recording media,,,
SK,"CP0915 Repair of audio-visual, photographic and information processing equipment",10,6.7,3
SK,CP09221 Musical instruments,7.8,4.9,0.8
SK,"CP09421 Cinemas, theatres, concerts",13.5,10,2.3
SK,"CP09423 Television and radio licence fees, subscriptions",-22.7,4.3,1.6
